domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,screenshot_path_banner,screenshot_path_manage,notes
opm.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T07:43:28.864Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
opm.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T07:43:28.865Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
opm.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T07:43:28.865Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
opm.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T07:43:32.737Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mdes.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T07:43:32.933Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mdes.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T07:43:32.933Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mdes.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T07:43:36.810Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mdes.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T07:43:36.976Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
moph.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T07:43:36.980Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
moph.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T07:43:40.724Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
moph.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T07:43:40.857Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
moph.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T07:43:40.857Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mof.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T07:43:44.454Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mof.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T07:43:44.500Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mof.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T07:43:45.876Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mof.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T07:43:49.398Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mfa.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T07:43:49.531Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mfa.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T07:43:50.316Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mfa.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T07:43:53.800Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
mfa.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T07:43:54.084Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
moi.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T07:43:55.256Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
moi.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T07:43:57.872Z,,script_error,"page.evaluateHandle: ReferenceError: __name is not defined
    at eval (eval at evaluate (:290:30), <anonymous>:1:363)
    at UtilityScript.evaluate (<anonymous>:292:16)
    at UtilityScript.<anonymou",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,Unhandled script error
